"","Tweet","Time Stamp","Twitter Handle","Latitude","Longitude","Topic"
"74","The anti-intellectual  evolution denier @seanhannity and the sexist  xenophobe @realDonaldTrump ... Pandering to the fools... #cunts","Tue Feb 23 03:48:08 +0000 2016","DavidDavid__NYC",40.780709,"-73.9685415","feminism"
"75","@ByronYork Vote 4 Trump = vote for Hillary or Bernie. Sorry he will NOT defund PP  he DOES believe in 3rd term abortion. I'm done w/Fox News","Tue Feb 23 14:03:45 +0000 2016","JVH241",26.622149,"-81.8231765","reproductive_rights"
"76","@jm3679 that would mean at the age of 9 @realDonaldTrump supported partial birth abortion?  Seriously what BS CRUZ spews #Trump2016","Tue Feb 23 15:33:24 +0000 2016","MikeandDawnNY",40.655138,"-73.9487755","reproductive_rights"
"77","@CarrollDems @realDonaldTrump @SenTedCruz of diversity?","Tue Feb 23 17:03:40 +0000 2016","Cruzinto2016",44.00123,"-71.566171","intersectionality"
"78","@realDonaldTrump 'Trump only talks tough on immigration now because he did so badly in Iowa. He is in favor of racism and weak.'","Tue Feb 23 17:11:34 +0000 2016","1borabora",53.765817,"-0.3339425","intersectionality"
"79","Donald Trump on Abortion: Will the Real Donald Trump  please stand up? https://t.co/yfoH0oH4mu https://t.co/cRUuSbHV9x","Tue Feb 23 17:14:22 +0000 2016","BobNotfondajane",38.8051145,"-77.2369685","reproductive_rights"
"80","'Reverse racism' and the allure of Donald Trump https://t.co/FSnG479bTT","Wed Feb 24 02:25:21 +0000 2016","SSmolowitz",32.1893905,"-110.9155735","intersectionality"
"81","@megynkelly @EWErickson @PPFA  Donald Trump for President https://t.co/KNSlyjmOWU","Wed Feb 24 03:30:43 +0000 2016","jerrysremodeli1",38.498196,"-98.319925","reproductive_rights"
"82","Illegal immigration is not even a problem in America. Racism apparently is. What's contributing to Donald Trump's rise? Obama's blackness.","Wed Feb 24 05:16:35 +0000 2016","ShazadHamid",32.6782075,"-83.1738665","intersectionality"
"83","@AC360 it is not hope that #DonaldTrump spreading but the hearts of man  division  racism  hate  we are seeing the true hearts of man.","Wed Feb 24 05:45:35 +0000 2016","argreene",36.0871685,"-80.244984","intersectionality"
"84","People supporting Donald Trump goes to show racism and prejudice are still alive.Many of our friends bosses  and coworkers agree.Thats crazy","Wed Feb 24 05:56:32 +0000 2016","PastorActivist",36.2491245,"-115.133373","intersectionality"
"85","@BreitbartNews sour grapes. Crabby Old Hillary can't stop the momentum Trump is gaining. 😈","Wed Feb 24 06:18:12 +0000 2016","SteveOHara7",29.417501,"-98.5406515","violence_against_women"
"86","@realDonaldTrump @CLewandowski_ #Trump2016 GOP Establishment rally behind Rubio is SICKENING. Trump will bring diversity much needed to GOP","Wed Feb 24 14:51:42 +0000 2016","nolanriverbay",34.7519365,"-92.131274","intersectionality"
"87","@realDonaldTrump @GOP GOP WAKEUP! U rally behind Rubio  Independents go BACK TO DEMS by groves! W/ Trump GOP becomes truly diversified!","Wed Feb 24 14:53:00 +0000 2016","nolanriverbay",34.7519365,"-92.131274","intersectionality"
"88","@FeministBukkake @realDonaldTrump @vine I find it incredible someone who calls themselves massive faggot calls ME a racist. Go read a book.","Wed Feb 24 14:57:16 +0000 2016","tammietoren1",47.493836,"-111.2978705","feminism"
"89","@ByPatrickWall @SReeceGreenberg @jimadair3 Also 1/3 of Trump voters want to ban gays  lesbians from entering the US. https://t.co/BGRIiNSSX2","Wed Feb 24 16:40:38 +0000 2016","taoish",32.66981,"-117.0867775","intersectionality"
"90","A guy in my class spent the whole period justifying racism  why people should support Donald Trump  and why country music is good 👀 #smh","Wed Feb 24 19:29:52 +0000 2016","micahguzman97",42.314732,"-83.213557","intersectionality"
"91","@NX0rabl3Wandr3r @realDonaldTrump @AnnCoulter @camefromempires No  I expressed interest in the diversity of human culture.","Thu Feb 25 02:54:45 +0000 2016","stribs",40.655138,"-73.9487755","intersectionality"
"92","@DevilsToast @realDonaldTrump aha you appreciate more your Germany ...mass rape parties.....sexual fun...1000 complaints...","Thu Feb 25 11:07:15 +0000 2016","cikibucka",46.1490785,"14.9929975","violence_against_women"
"93","Far from being its remedy @realDonaldTrump is the decline of the American empire #bellicose #buffoon #racist #fascist #misogynist","Thu Feb 25 14:12:29 +0000 2016","kevbarring",53.3549025,"-6.2476215","men"
"94","@jhewitt1280 @TheRickWilson Donald Trump: 'I would not ban partial birth abortion.' And on  and on. https://t.co/dLmNSQHYK5","Thu Feb 25 14:22:32 +0000 2016","dwdeardorff",37.2691755,"-119.3066075","reproductive_rights"
"95","@NRO @CecileRichards @realDonaldTrump @PPFA   Planned Parenthood's programs  with the exception of abortion  are good and needed.","Thu Feb 25 18:31:18 +0000 2016","KrisinAL",34.7060265,"-86.611411","reproductive_rights"
"96","RT your own stories &amp; favor Bernie stuff with #HeWinsWeWin #FeministsDontFrack Bernie is only one who can beat Trump https://t.co/JeOwRZCKPz","Thu Feb 25 19:16:13 +0000 2016","NizamovRus",40.8503475,"-73.8494415","feminism"
"97","Imagine a 9yr old saying they support partial birth abortion well according to Cruz @realDonaldTrump supported Partial birth abortion 60+YRS","Thu Feb 25 19:26:36 +0000 2016","MikeandDawnNY",40.655138,"-73.9487755","reproductive_rights"
