"","Tweet","Time Stamp","Twitter Handle","Latitude","Longitude","Topic"
"41","A #Feminist Guide To Critiquing Hillary Clinton  #UniteBlue https://t.co/WHsZj2T1DI #","Mon Feb 08 23:09:36 +0000 2016","GoddessKerriLyn",41.768938,"-71.463968","feminism"
"42","Hillary and some of these feminists are portraying women basically as victims; I think they are pretty damn insulting to you ladies.","Mon Feb 08 23:10:49 +0000 2016","MikeDury",40.09169,"-82.914208","feminism"
"43","Slick Willy is out stumping for Hillary. I am surprised he has the nerve to appear in public #diddleanintern","Mon Feb 08 23:11:57 +0000 2016","snipersskate",53.5101875,"-114.3819815","professional_gap"
"44","-'I'm voting for Hillary Clinton bc she's a woman' -'Fine  I'm not voting for Hillary Clinton bc she's a woman' -'Hey! That's sexist!' 🤔🤔","Mon Feb 08 23:18:14 +0000 2016","Mitchellf91",30.5854715,"-96.2916485","feminism"
"45","@rgj @LVSunBreaking @reviewjournal @fresnobee Doritos Super Bowl ad assures 'special place in Hell' 4 FemiNazis Hillary  Steinem  Halfbright","Mon Feb 08 23:22:12 +0000 2016","b2burns",33.5528625,"-112.1246765","feminism"
"46","@argusleader @ArizonaNewsnet @latimes  Doritos Super Bowl ad assures 'special place in Hell' for FemiNazis Hillary  Steinem  Halfbright!","Mon Feb 08 23:24:24 +0000 2016","b2burns",33.5528625,"-112.1246765","feminism"
"47","@FoxNews @krauthammer Steinem/Albright  @HillaryClinton -The 1960's called... They want you all back!  @billclinton - did you say  'SEXIST?'","Mon Feb 08 23:27:07 +0000 2016","FergOSU",40.0408125,"-83.1433925","feminism"
"48","@FOX46News @FOX4 @FOX40 @FOX5Atlanta  Doritos Super Bowl ad assures 'special place in Hell' for FemiNazis Hillary  Steinem  Halfbright!","Mon Feb 08 23:27:52 +0000 2016","b2burns",33.5528625,"-112.1246765","feminism"
"49","Do women Democrats have to support Clinton just because she's a woman? The girls know the boys are with Bernie  are his female fans sexist?","Mon Feb 08 23:30:16 +0000 2016","LarsOperalaven",58.602377,"16.5790055","feminism"
"50","@dcexaminer @washingtonpost @nro  Doritos Super Bowl ad assures 'special place in Hell' for FemiNazis Hillary  Steinem  Halfbright!","Mon Feb 08 23:34:22 +0000 2016","b2burns",33.5528625,"-112.1246765","feminism"
"51","@hughhewitt @AnnCoulter @GeraldoRivera  Doritos Super Bowl ad assures 'special place in Hell' for FemiNazis Hillary  Steinem  Halfbright!","Mon Feb 08 23:35:12 +0000 2016","b2burns",33.5528625,"-112.1246765","feminism"
"52","@billclinton @hbarnes @HillaryClinton SEXIST BERNIE? Bill's behavior/attitudes fostered stereotypes of social roles based on sex for 45-yrs!","Tue Feb 09 00:08:13 +0000 2016","FergOSU",40.0408125,"-83.1433925","feminism"
"53","@mirahwood lolno  but its a similar phenomenon that props up hillary as a feminist hero after decades of destroying women's lives","Tue Feb 09 00:39:32 +0000 2016","Jeevesmeister",40.655138,"-73.9487755","feminism"
"54","Weird that @HillaryClinton goes to flint and ramps up talks about racial inequality when the next contest is SC. Bring down the firewall :)","Tue Feb 09 01:06:58 +0000 2016","EthridgeNetz",41.5764375,"-93.6063695","intersectionality"
"55","Et du côté du camp Clinton  on a la police du féminisme qui essaie de call out les jeunes féministes qui #FeelTheBern en étant sexiste :(","Tue Feb 09 01:18:31 +0000 2016","FrenchAmerican9",51.5148305,"-0.0350195","feminism"
"56","Any woman who calls herself a feminist and votes for Hillary just because she's s woman does not understand what feminism is.","Tue Feb 09 01:54:02 +0000 2016","YOYOULISES",33.938045,"-118.1940255","feminism"
